Iter:0, sigma: 0.45, budget:3.73 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:77.73929, l1:1.75192
Iter:1, sigma: 0.47, budget:1.48 R2DP epsilon:1.94266, l1: 0.00041, Gaussin epsilon:70.79305, l1:1.74312
Iter:2, sigma: 0.75, budget:0.21 R2DP epsilon:0.24283, l1: 0.00053, Gaussin epsilon:30.7561, l1:2.50231
Iter:3, sigma: 1.42, budget:0.67 R2DP epsilon:0.97133, l1: 0.00044, Gaussin epsilon:15.46349, l1:5.10458
Iter:4, sigma: 2.58, budget:1.84 R2DP epsilon:1.94266, l1: 0.00041, Gaussin epsilon:8.01921, l1:9.64442
Iter:5, sigma: 0.27, budget:2.59 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:170.64029, l1:1.04981
Iter:6, sigma: 0.63, budget:0.64 R2DP epsilon:0.97133, l1: 0.00044, Gaussin epsilon:43.80798, l1:2.27268
Iter:7, sigma: 0.53, budget:0.73 R2DP epsilon:0.97133, l1: 0.00044, Gaussin epsilon:55.45793, l1:1.91888
Iter:8, sigma: 0.12, budget:0.85 R2DP epsilon:0.97133, l1: 0.00044, Gaussin epsilon:616.19872, l1:0.42437
Iter:9, sigma: 1.57, budget:3.11 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:14.85897, l1:6.08775
Iter:10, sigma: 1.82, budget:2.27 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:12.44738, l1:7.06233
Iter:11, sigma: 0.76, budget:0.73 R2DP epsilon:0.97133, l1: 0.00044, Gaussin epsilon:34.19723, l1:2.72945
Iter:12, sigma: 0.9, budget:1.24 R2DP epsilon:1.94266, l1: 0.00041, Gaussin epsilon:28.42406, l1:3.38271
Iter:13, sigma: 0.51, budget:3.38 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:64.73982, l1:1.98655
Iter:14, sigma: 0.77, budget:1.15 R2DP epsilon:1.94266, l1: 0.00041, Gaussin epsilon:35.01027, l1:2.88807
Iter:15, sigma: 0.82, budget:1.69 R2DP epsilon:1.94266, l1: 0.00041, Gaussin epsilon:32.33392, l1:3.06616
Iter:16, sigma: 1.15, budget:2.27 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:21.72752, l1:4.47087
Iter:17, sigma: 3.63, budget:2.04 R2DP epsilon:3.88532, l1: 0.00038, Gaussin epsilon:5.69446, l1:14.04646
